Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
ridcully,DE,136,8,188.40.99.69,ridcully.episode-iv.de,9031,None,0,0,1,0,0,0,1,1,0,Tor 0.2.8.12 on Linux,0,0,2010-07-04,HETZNER-AS- DE,24940,888,None
TorShirtsAtTheBar,NL,136,954,188.166.4.209,psychedelia.xyz,4433,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on FreeBSD,0,0,2016-01-30,DIGITALOCEAN-ASN-3- NL,202018,936,None
yourmom,DE,136,2252,85.214.124.168,ddf-software.de,443,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-12-13,STRATO STRATO AG- DE,6724,809,None
fractaldragon,IS,135,1812,93.95.227.245,93-95-227-245.1984.is,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2014-06-08,THE-1984-AS- IS,44925,531,None
ieditedtheconfig,CA,135,189,45.62.249.18,c999958611-cloudpro-217425924.cloudatcost.com,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2017-01-18,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,358,None
MGRiMWE3MGY,RU,135,12,185.111.219.11,185.111.219.11,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-03-31,NETRACK-AS- RU,61400,1490,None
sheffer,IT,135,3290,185.78.67.40,host40-67-78-185.static.rackone.it,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2016-09-28,RACKONE - IT,200858,731,None
TorReodor,RU,135,5194,212.74.254.243,212.74.254.243,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.8.7 on Linux,0,0,2014-04-18,ITERANET-AS ISP in Moscow and Cyprus- RU,15682,422,None
Unnamed,RU,135,150,128.74.53.188,128-74-53-188.broadband.corbina.ru,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.4.22 on Windows 8,0,0,2015-10-13,CORBINA-AS OJSC _Vimpelcom_- RU,8402,1080,None
b42,FR,134,1056,82.251.33.136,lns-bzn-36-82-251-33-136.adsl.proxad.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2015-05-23,PROXAD - FR,12322,798,[2a01:e35:2fb2:1880:ba27:ebff:fe95:aa91]:9001
DoctorKisow,US,134,113,209.166.172.10,wd1.wisdomcorp.com,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.9.9 on Linux,0,0,2017-01-06,AS17054 - CONTINENTAL BROADBAND PENNSYLVANIA- INC.- US,17054,599,None
KagamineLenGlucagon,FR,134,52,193.70.38.152,193.70.38.152,443,80,0,0,1,0,0,0,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-04-07,OVH - FR,16276,774,[2001:41d0:401:3100::38d2]:443
Sky,IN,134,320,59.179.17.195,triband-del-59.179.17.195.bol.net.in,80,443,0,1,1,0,0,0,1,1,1,Tor 0.2.9.9 on Windows 8,0,0,2017-02-27,MTNL-AP Mahanagar Telephone Nigam Limited- IN,17813,51,None
Unnamed,CA,134,295,104.233.105.199,c625804926-cloudpro-176653238.cloudatcost.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on OpenBSD,0,0,2017-02-21,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,485,None
versiooff,US,134,2165,94.100.23.26,26.23.100.94.static.swiftway.net,16801,8332,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-01-09,SWIFTWAY-AS Netherlands- GB,35017,624,None
dinadish,SE,133,1587,91.236.116.94,smart-digi-cz.com,32218,24381,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-02-02,PORTLANE www.portlane.com- SE,42708,1140,None
freedomsurfers,GB,133,21,81.174.150.43,dannyrohde.plus.com,9001,9002,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2015-04-19,PLUSNET UK Internet Service Provider- GB,6871,1070,None
puerh,US,133,504,45.79.76.40,li1175-40.members.linode.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2017-03-19,LINODE-AP Linode- LLC- US,63949,689,None
Tinkerbeard,IN,133,2024,139.59.39.53,139.59.39.53,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2017-01-15,DIGITALOCEAN-AS-IN Digital Ocean- Inc.- US,135340,823,None
WooptThereItIs,IT,133,988,149.154.157.80,80-157-154-149.static.edis.at,443,8080,0,0,1,0,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2014-08-14,CDLAN-AS Milano- IT,20836,603,None
arnhemwesh,NL,132,222,188.226.237.154,188.226.237.154,19840,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2016-01-05,DIGITALOCEAN-ASN-1- EU,200130,558,None
gm90210,US,132,147,138.68.42.25,138.68.42.25,9002,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2016-12-01,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,1260,None
NautilusII,DE,132,444,78.47.176.74,openpgp-keyserver.de,143,110,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-07-01,HETZNER-AS- DE,24940,811,[2a01:4f8:d12:1cca::2]:143
SenhoraDaGraca,DE,132,4397,130.255.72.164,130.255.72.164,8008,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2014-04-01,BKVG-AS- DE,29141,628,None
TorRelay,DE,132,3525,139.162.142.120,li1409-120.members.linode.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-09-05,LINODE-AP Linode- LLC- US,63949,779,None
Unnamed,DE,132,1830,188.192.142.2,ipbcc08e02.dynamic.kabel-deutschland.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.8.10 on Linux,0,0,2017-01-02,KABELDEUTSCHLAND-AS- DE,31334,419,None
Velwlanicky,IE,132,2257,52.214.45.147,ec2-52-214-45-147.eu-west-1.compute.amazonaws.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2017-01-05,AMAZON-02 - Amazon.com- Inc.- US,16509,574,None
yamadamadasan,JP,132,123,153.127.199.124,153.127.199.124,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-02-15,SAKURA-A SAKURA Internet Inc.- JP,7684,793,None
GraduaTor,BE,131,626,134.58.44.59,dnetcloud.cs.kuleuven.be,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2017-02-02,BELNET - BE,2611,1450,None
L1V3FREE0RD1E,NL,131,127,185.92.223.3,tcj.me,8080,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on OpenBSD,0,0,2017-03-21,AS-CHOOPA - Choopa- LLC- US,20473,461,None
open4medetorrelay,DE,131,1135,5.199.142.124,open4me.de,9001,9002,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-04-18,MYLOC-AS- DE,24961,508,None
RobinHood,US,131,220,75.143.131.16,75-143-131-16.dhcp.mrqt.mi.charter.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-06-09,CHARTER-NET-HKY-NC - Charter Communications- US,20115,319,None
tharan,DE,131,321,5.189.143.28,tharan.simonszu.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-11-18,CONTABO - DE,51167,435,None
Unnamed,DE,131,9,212.224.95.231,212.224.95.231,9001,9033,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-11-18,DE-FIRSTCOLO www.first-colo.net- DE,44066,434,None
wundc,DE,131,33,109.192.207.29,HSI-KBW-109-192-207-029.hsi6.kabel-badenwuerttemberg.de,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.10 on Windows 8 [server],0,0,2017-03-14,KABELBW-ASN- DE,29562,810,None
DidItLateButNow42,DE,130,2264,62.72.82.222,newgate.radio-do.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.8 on FreeBSD,0,0,2016-12-28,VERSATEL - DE,8881,612,None
dunkychocobiscuits,US,130,169,45.33.90.50,li1036-50.members.linode.com,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2017-04-01,LINODE-AP Linode- LLC- US,63949,728,None
grimfandango,GB,130,854,139.162.226.245,tor-proxy.treecode.com,9001,9030,0,1,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-09-17,LINODE-AP Linode- LLC- US,63949,380,None
loxodonta,AT,130,1608,212.232.29.101,ip212232029101.rev.nessus.at,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2012-04-17,NESSUS- AT,47692,305,None
megan,DE,130,3078,85.214.64.126,h2604986.stratoserver.net,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-09-02,STRATO STRATO AG- DE,6724,580,None
Unnamed,DE,130,723,78.46.141.74,mailrelay.vuojolahti.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-08-20,HETZNER-AS- DE,24940,627,None
character,US,129,388,47.88.52.195,47.88.52.195,9001,9031,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-02-28,CNNIC-ALIBABA-CN-NET-AP Alibaba (China) Technology Co.- Ltd.- CN,45102,767,None
danubuntuvm,US,129,29,96.91.11.81,96-91-11-81-static.hfc.comcastbusiness.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on Linux,0,0,2015-05-31,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,732,None
debiantor,US,129,59,104.131.99.72,104.131.99.72,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.5.12 on Linux,0,0,2017-04-07,DIGITALOCEAN-ASN-NY2 - Digital Ocean- Inc.- US,62567,379,None
MrFrisco100,CA,129,150,104.233.80.15,pilvi.oo.fi,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2015-09-29,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,848,None
NCC1701,CH,129,1420,178.209.50.151,mail.interdet-lsp.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.8.12 on Linux,0,0,2014-07-02,NINE- CH,29691,527,[2a02:418:6a04:178:209:50:151:1]:9001
piu130,CH,129,48,89.236.144.248,248-144-236-89.dyn.ftth.fcom.ch,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-04-02,FINECOM Quickline AG (former Finecom Telecommunications AG / EBM Telecom)- CH,15600,795,None
TheRock,SE,129,22,85.224.97.127,c-7f61e055.01-120-73746f46.cust.bredbandsbolaget.se,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2016-10-30,TELENOR-NEXTEL Telenor Norge AS- NO,2119,685,None
xirrad,CA,129,420,162.221.201.57,162.221.201.57,9001,None,0,1,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2016-08-24,ESECUREDATA - eSecureData- CA,11831,357,None
domob,FR,128,2591,176.31.184.255,www.domob.eu,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-10-05,OVH- FR,16276,398,None
fHUELb6VMgvaL1dx7rE,RU,128,1470,217.29.58.184,217.29.58.184,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2017-02-07,TELENET-JSC-AS - RU,29053,577,None
icsitor2,US,128,142,52.53.204.106,ec2-52-53-204-106.us-west-1.compute.amazonaws.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2017-04-03,AMAZON-02 - Amazon.com- Inc.- US,16509,658,None
iLoveDemocracy,DE,128,9,79.203.96.182,p4FCB60B6.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-02-26,DTAG Internet service provider operations- DE,3320,598,None
KagamineLenAiKotoba,FR,128,52,163.172.91.212,on1.romanrm.net,443,80,0,0,1,0,0,0,1,1,1,Tor 0.2.9.9 on Linux,0,0,2017-04-07,AS12876- FR,12876,2370,None
moiraine,SE,128,768,84.216.252.200,c-c8fcd854.06-107-73746f16.cust.bredbandsbolaget.se,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2014-10-31,TELENOR-NEXTEL Telenor Norge AS- NO,2119,482,None
nectanebus,ID,128,695,103.56.207.84,103.56.207.84,443,80,0,1,1,0,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-10-30,ARGON-AS-ID Argon Data Communication- ID,58477,716,None
9U5Cs7gu3XTORY,CA,127,1622,45.62.244.240,c999948745-cloudpro-261248876.cloudatcost.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.8.8 on Linux,0,0,2017-02-01,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,646,None
ApuTheEmu,GB,127,641,5.65.87.145,05415791.skybroadband.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-05-03,BSKYB-BROADBAND-AS - GB,5607,454,None
chuckthecanuck,CA,127,1730,68.71.46.138,68.71.46.138,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2010-03-25,NETELLIGENT - Netelligent Hosting Services Inc.- CA,10929,580,None
hiitsme,DE,127,7,217.230.26.106,pD9E61A6A.dip0.t-ipconnect.de,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-08-03,DTAG Internet service provider operations- DE,3320,741,None
sabarurothbard,FR,127,583,5.196.72.233,ns386625.ip-5-196-72.eu,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-10-10,OVH - FR,16276,602,None
tardis9876,DE,127,240,37.120.108.178,cable-37-120-108-178.cust.telecolumbus.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2015-03-17,TELECOLUMBUS- DE,20880,582,None
yellowDog,SE,127,1321,178.73.210.118,118-210-73-178.static.edis.at,443,8080,0,0,1,0,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2014-09-25,PORTLANE www.portlane.com- SE,42708,640,None
1d1dnt3d1th3c0nf1g,NL,126,699,82.161.210.87,pindarots.xs4all.nl,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-04-21,XS4ALL-NL Amsterdam- NL,3265,629,None
AliasName,DE,126,14,79.248.153.132,p4FF89984.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.4.27 on Linux,0,0,2015-04-01,DTAG Internet service provider operations- DE,3320,797,None
irlUoaRelay,GB,126,92,139.133.232.231,at-tor-1.erg.abdn.ac.uk,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2017-02-27,JANET Jisc Services Limited- GB,786,634,None
MehlTor1,DE,126,121,188.68.36.209,serv1.mehl.mx,59001,59030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-10-31,NETCUP-AS netcup GmbH- DE,197540,710,None
Merk01,NL,126,722,178.62.252.234,178.62.252.234,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-10-14,DIGITALOCEAN-ASN-3- NL,202018,427,None
Presswurst9,DE,126,66,87.156.139.80,p579C8B50.dip0.t-ipconnect.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2014-05-04,DTAG Internet service provider operations- DE,3320,758,None
scattystorrelay,DE,126,155,87.79.95.151,static-87-79-95-151.netcologne.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.9 on Linux,0,0,2016-09-21,NETCOLOGNE- DE,8422,597,None
Unnamed,US,126,1150,66.65.49.15,cpe-66-65-49-15.nyc.res.rr.com,9002,9031,0,0,1,0,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-04-10,SCRR-12271 - Time Warner Cable Internet LLC- US,12271,724,None
Volume,CA,126,124,45.62.232.20,c999950409-cloudpro-798205547.cloudatcost.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2016-09-23,COLOWAREHOUSEONTARIO - 2267921 ONTARIO LTD- CA,55053,422,None
Ograoum,FR,125,3955,149.202.58.41,41.ip-149-202-58.eu,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2016-10-26,OVH - FR,16276,229,None
Unnamed,CA,125,15243,198.245.51.72,vmpanel.ip-198-245-51.vmpanel.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-07-14,OVH- FR,16276,405,None
Unnamed,US,125,1805,45.76.21.77,45.76.21.77.vultr.com,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.7.6 on OpenBSD,0,0,2017-01-24,AS-CHOOPA - Choopa- LLC- US,20473,717,None
vladv,RU,125,91,91.78.220.96,ppp91-78-220-96.pppoe.mtu-net.ru,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2017-04-02,MTS- RU,8359,539,None
blahblahblah,DE,124,17,79.233.188.13,p4FE9BC0D.dip0.t-ipconnect.de,31446,None,0,0,1,0,0,0,1,1,0,Tor 0.2.9.10 on Linux,0,0,2016-11-18,DTAG Internet service provider operations- DE,3320,503,None
ehthiswilldo,US,124,259,98.167.151.35,ip98-167-151-35.ph.ph.cox.net,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2017-03-24,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.- US,22773,793,None
hpoohtor,US,124,19,75.72.74.123,c-75-72-74-123.hsd1.mn.comcast.net,443,110,0,1,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-02-11,COMCAST-7922 - Comcast Cable Communications- LLC- US,7922,551,None
SkyshipWeatherlight,US,124,4475,104.131.129.30,jhaven.me,44433,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-11-17,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,775,None
YATR,DE,124,654,5.9.79.154,desfontain.es,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2014-08-02,HETZNER-AS- DE,24940,554,None
Kalaskula,SE,123,86,83.255.45.34,c83-255-45-34.bredband.comhem.se,9999,None,0,0,1,0,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2017-04-01,COMHEM-SWEDEN- SE,39651,446,None
Mundl,AT,123,12094,195.230.168.83,83-server.icb.at,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.24 on Linux,0,0,2014-04-22,WELLCOM Burgenland Austria- AT,8559,1110,None
rickmorty16,US,123,84,107.170.193.14,107.170.193.14,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2015-11-20,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,615,None
anonymousByPDH,US,122,264,138.68.37.178,138.68.37.178,21,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.10 on Linux,0,0,2016-11-30,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,1060,None
arg,US,122,694,129.10.115.220,arg5.ccs.neu.edu,9003,9004,0,0,1,0,0,1,1,1,1,Tor 0.2.9.10 on Linux,0,0,2016-02-23,NORTHEASTERN-GW-AS - Northeastern University- US,156,388,None
BoBzrKr,US,122,1388,166.70.94.106,clavin.bobzrkr.org,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.8.10 on Linux,0,0,2016-06-07,XMISSION - XMission- L.C.- US,6315,638,None
Cir0X,DE,122,403,37.120.178.124,cr0wd.net,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.2.9.9 on Linux,0,0,2017-03-24,NETCUP-AS netcup GmbH- DE,197540,489,None
